"JobId","Type","State","Status","StateDetails","JobPolicy","Client","JobSchedule","Kilobytes","MediaServer","KB/Sec","EndTime","StartTime","MasterServer","Has_Breached"
"170486","Backup","Done","0","","INDY_P_CIFS_PST","INDVPRDHNAS01","Daily_Incr","21147392","indpprdwnbu04.msn00.oneamerica.com","29075","7/5/2018 17:14:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170485","Backup","Done","0","","INDY_VADP_03","INDVPRDWSRM01","Daily_Incr","1386511","indpprdwnbu01.msn00.oneamerica.com","6549","7/5/2018 17:06:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170484","Backup","Done","0","","INDY_VADP_03","IVPWPRNTSRV02","Daily_Incr","3506814","indpprdwnbu01.msn00.oneamerica.com","8610","7/5/2018 17:09:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170479","Backup","Done","0","","INDY_VADP_03","SWPRFAXAPP03","Daily_Incr","1759259","indpprdwnbu01.msn00.oneamerica.com","3418","7/5/2018 17:11:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170483","Backup","Done","0","","INDY_PRD_NDMP_03_MACFS","INDVPRDHNAS02","Daily_Incr","768","indpprdwnbu04.msn00.oneamerica.com","1","7/5/2018 17:20:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170482","Backup","Done","0","","INDY_PRD_NDMP_03_MACFS","INDVPRDHNAS02","Daily_Incr","768","indpprdwnbu04.msn00.oneamerica.com","6","7/5/2018 17:08:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170481","Backup","Done","0","","INDY_PRD_NDMP_03_MACFS","INDVPRDHNAS02","Daily_Incr","768","indpprdwnbu04.msn00.oneamerica.com","0","7/5/2018 17:33:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170480","Backup","Done","0","","INDY_PRD_NDMP_03_MACFS","INDVPRDHNAS02","Daily_Incr","768","indpprdwnbu04.msn00.oneamerica.com","0","7/5/2018 17:54:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170478","Backup","Done","0","","INDY_VADP_04","INDVPRDLASENSOR02","Daily_Incr","2565709","indpprdwnbu01.msn00.oneamerica.com","7338","7/5/2018 17:08:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170477","Backup","Done","0","","INDY_VADP_03","INDVPRDWGUP01","Daily_Incr","4155170","indpprdwnbu01.msn00.oneamerica.com","7940","7/5/2018 17:11:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170476","Backup","Done","0","","INDY_PROD_NFS_ORA_NDMP","INDVPRDHNAS02","Daily_Incr","28329216","indpprdwnbu04.msn00.oneamerica.com","40313","7/5/2018 17:13:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
